	FIRE_YEAR	1	0	MANMADE
1826689	2015	34.638651	-92.528131	1
1826719	2015	38.71	-95.9	1
1826720	2015	37.46	-97.85	1
1826721	2015	47.9603	-124.3727	1
1826722	2015	41.88186	-103.7143	1
1826723	2015	46.12667	-123.17917	1
1826724	2015	45.35972	-122.26333	1
1826725	2015	46.96659836	-116.5462093	1
1826726	2015	46.14326	-92.21454	1
1826688	2015	34.354099	-81.528145	1
1826727	2015	41.84448	-103.4649	1
1826728	2015	41.94364	-103.5326	1
1826729	2015	38.63	-95.68	1
1826731	2015	42.03889	-70.74658	1
1826732	2015	34.060093	-80.248779	1
1826733	2015	32.40836389	-82.96523611	1
1826734	2015	31.18777778	-81.61188889	1
1826735	2015	33.521927	-81.048187	1
1826736	2015	33.654514	-80.71331	1
1826737	2015	43.0295	-78.8988	1
1826738	2015	45.535	-121.38583	1
1826739	2015	31.878975	-81.39930278	1
1826730	2015	46.4655	-122.8385	1
1826740	2015	46.6859	-114.0559	1
1826742	2015	45.5991	-122.2784	1
1826743	2015	30.87971111	-82.02485833	1
1826718	2015	46.06639	-123.69389	1
1826745	2015	38.84	-97.59	1
1826717	2015	40.7576	-73.7801	1
1826715	2015	33.230967	-116.922933	1
1826690	2015	37.23	-95.7	1
1826691	2015	34.323448	-85.976953	1
1826692	2015	46.08306	-123.735	1
1826741	2015	45.675183	-67.888884	1
1826693	2015	32.61529444	-82.31166111	1
1826836	2015	29.9059	-81.6398	1
1826648	2015	45.8711	-122.5874	1
1826499	2015	46.16556	-123.63111	1
1826698	2015	32.56391667	-83.75972222	1
1826699	2015	34.438168	-80.129929	1
1826700	2015	46.19417	-123.57139	1
1826701	2015	30.91661667	-95.3456	1
1826702	2015	37.61	-97.45	1
1826703	2015	37.07	-94.64	1
1826704	2015	30.96785	-83.95591667	1
1826705	2015	41.00404	-98.87414	1
1826706	2015	34.382262	-85.889931	1
1826697	2015	34.155815	-80.315842	1
1826707	2015	45.436244	-84.829089	1
1826709	2015	38.41	-98.73	1
1826710	2015	40.82907	-101.7009	1
1826711	2015	46.284	-122.859	1
1826712	2015	43.45944	-123.43583	1
1826713	2015	32.56490556	-84.60520833	1
1826714	2015	34.621735	-81.532799	1
1826716	2015	33.633335	-80.116669	1
1826498	2015	31.3033	-81.53210278	1
1826136	2015	31.60586111	-83.83441667	1
1826708	2015	44.18219	-84.12345	1
1826496	2015	31.88933333	-83.2395	1
1826323	2015	44.2419	-104.1497	1
1826324	2015	33.4489	-105.6316	1
1826326	2015	32.683334	-81	1
1826327	2015	36.604767	-119.526	1
1826328	2015	43.1872	-73.415	1
1826329	2015	44.306726	-71.783078	1
1826330	2015	38.818383	-121.132683	1
1826322	2015	38.5017	-120.50995	1
1826331	2015	31.31956389	-84.49074167	1
1826333	2015	39.2959	-123.33775	1
1826334	2015	34.84179167	-85.55970833	1
1826325	2015	44.11683	-89.49653	1
1826335	2015	48.5853	-119.5044	1
1826337	2015	31.86402778	-84.16148611	1
1826338	2015	39.6623	-74.7423	1
1826339	2015	33.199078	-85.748401	1
1826340	2015	44.243419	-71.734086	1
1826332	2015	31.70056111	-81.71305278	1
1826321	2015	44.50432	-88.74626	1
1826320	2015	48.554	-118.1552	1
1826319	2015	31.52523056	-81.42048333	1
1826300	2015	42.386239	-71.649996	1
1826336	2015	45.7702	-121.2825	1
1826694	2015	46.5104	-122.479	1
1826301	2015	40.23185	-123.856467	1
1826245	2015	41.893267	-70.908011	1
1826303	2015	38.748933	-120.674783	1
1826307	2015	45.79756972	-93.29516106	1
1826308	2015	29.5583	-81.9783	1
1826309	2015	34.067917	-117.100983	1
1826310	2015	39.2114	-121.084383	1
1826311	2015	39.834017	-121.5941	1
1826312	2015	31.91824167	-83.44930833	1
1826313	2015	33.03772222	-83.58755556	1
1826314	2015	36.9822	-120.509098	1
1826315	2015	41.30586	-93.00686	1
1826306	2015	31.62530556	-81.87941667	1
1826316	2015	38.661283	-120.86825	1
1826318	2015	28.197	-81.5074	1
1826341	2015	42.525857	-71.719004	1
1826342	2015	43.3363	-78.5551	1
1826343	2015	47.8391	-118.3448	1
1826344	2015	46.0173	-121.5244	1
1826367	2015	30.4145	-83.1128	1
1826368	2015	28.9524	-81.0746	1
1826369	2015	41.887611	-70.765014	1
1826349	2015	32.64853056	-82.329225	1
1826317	2015	48.4554	-117.898	1
1826150	2015	41.756233	-122.633417	1
1826305	2015	41.89016	-103.6944	1
1826371	2015	36.145017	-118.8049	1
1826376	2015	37.65	-100.02	1
1826377	2015	34.43	-117.591667	1
1826378	2015	30.465301	-88.284411	1
1826379	2015	41.828884	-70.610431	1
1826380	2015	41.965546	-70.670201	1
1826381	2015	42.175117	-70.885602	1
1826382	2015	41.822871	-70.550182	1
1826373	2015	32.14515278	-83.87322222	1
1826383	2015	33.366802	-80.837639	1
1826370	2015	32.80671667	-83.22010556	1
1826385	2015	33.29455	-117.20755	1
1826299	2015	41.992652	-70.761899	1
1826365	2015	33.151843	-92.69489	1
1826363	2015	41.343	-74.1731	1
1826345	2015	39.535543	-81.682546	1
1826346	2015	32.489875	-82.946925	1
1826347	2015	38.69	-97.59	1
1826348	2015	46.27643	-87.415231	1
1826384	2015	33.349998	-80.833336	1
1826372	2015	32.35537778	-83.39021667	1
1826366	2015	30.63320544	-88.88784236	1
1826350	2015	43.1472	-76.2802	1
1826351	2015	44.8497	-75.2333	1
1826260	2015	31.15694722	-84.84533333	1
1826354	2015	37.8348283	-81.25598349	1
1826355	2015	35.579484	-84.9163	1
1826356	2015	43.95055	-89.29555	1
1826357	2015	32.285375	-83.14641667	1
1826358	2015	42.436122	-73.243936	1
1826359	2015	44.05987	-84.9701	1
1826360	2015	42.096881	-70.716993	1
1826361	2015	32.33964167	-83.60238611	1
1826362	2015	41.343	-74.1731	1
1826353	2015	31.29696111	-82.40505833	1
1826364	2015	42.76306	-121.76222	1
1826298	2015	42.159833	-70.856704	1
1826296	2015	41.887611	-70.765014	1
1826287	2015	32.04408611	-83.88763333	1
1826288	2015	29.9246	-81.6566	1
1826289	2015	37.454283	-119.7596	1
1826290	2015	38.361067	-120.752533	1
1826261	2015	34.266289	-82.58889	1
1826291	2015	32.35580556	-84.07530556	1
1826859	2015	37.76	-100.07	1
1826386	2015	48.5882	-122.3116	1
1826352	2015	42.01847	-97.32985	1
1826292	2015	46.84632024	-92.41620089	1
1826293	2015	29.0216	-82.028	1
1826259	2015	31.20050278	-84.24962222	1
1826258	2015	38.90755	-120.98405	1
1826257	2015	38.524467	-122.979217	1
1826256	2015	31.12447222	-82.52019444	1
1826255	2015	38.617533	-120.7315	1
1826254	2015	43.612117	-70.824417	1
1826253	2015	38.645467	-120.997033	1
1826295	2015	41.46173	-91.09287	1
1826294	2015	33.60289	-80.315674	1
1826285	2015	40.169434	-81.154426	1
1826283	2015	41.703418	-70.049055	1
1826277	2015	29.8562	-82.1391	1
1826278	2015	27.2202	-81.2959	1
1826274	2015	42.108954	-71.026345	1
1826273	2015	42.029301	-70.733705	1
1826272	2015	41.970301	-70.716205	1
1826271	2015	41.9159546	-70.7293185	1
1826270	2015	42.080542	-70.932287	1
1826269	2015	41.965546	-70.670201	1
1826284	2015	26.7752	-81.4614	1
1826286	2015	30.5204	-83.3876	1
1826375	2015	32.53269444	-83.58130556	1
1826374	2015	29.067	-81.2947	1
1826268	2015	41.970505	-70.716164	1
1826267	2015	42.006616	-70.730498	1
1826264	2015	41.94484	-70.75665	1
1826263	2015	42.081703	-70.858174	1
1826262	2015	27.2162	-81.3141	1
1826281	2015	33.08248056	-83.11028889	1
1826282	2015	30.0541	-83.5783	1
1826252	2015	38.972367	-123.27425	1
1826251	2015	40.73556	-76.15583	1
1826215	2015	34.641373	-80.04731	1
1826250	2015	40.525567	-122.485726	1
1826265	2015	41.970301	-70.716205	1
1826225	2015	37.01285	-120.836883	1
1826223	2015	32.15563889	-82.45597222	1
1826222	2015	41.520817	-124.033683	1
1826221	2015	41.954507	-70.714386	1
1826220	2015	41.93342	-70.660327	1
1826219	2015	36.438217	-119.825383	1
1826218	2015	28.9116	-82.5672	1
1826217	2015	46.656	-123.0455	1
1826249	2015	38.877867	-121.22815	1
1826237	2015	44.667102	-67.640107	1
1826224	2015	32.15472222	-82.457	1
1826280	2015	29.5161	-82.5012	1
1826216	2015	32.08740278	-82.81223333	1
1826214	2015	32.946419	-81.297569	1
1826210	2015	31.36125278	-81.69653333	1
1826827	2015	37.73	-100.02	1
1826209	2015	28.767	-81.7057	1
1826208	2015	42.51444	-122.89278	1
1826211	2015	31.71130556	-81.72808611	1
1826207	2015	40.78556	-76.54583	1
1826226	2015	45.8603	-120.9327	1
1826297	2015	42.250017	-70.91686	1
1826227	2015	32.40149444	-82.91364722	1
1826213	2015	44.234348	-69.10088	1
1826229	2015	30.72944444	-83.28391667	1
1826247	2015	37.3975	-120.632167	1
1826246	2015	42.25707	-70.864161	1
1826244	2015	42.112661	-70.8158	1
1826243	2015	41.929019	-70.657525	1
1826242	2015	41.955399	-70.718193	1
1826241	2015	44.273687	-71.764997	1
1826240	2015	45.746	-121.4763	1
1826239	2015	38.9772	-121.068983	1
1826248	2015	34.133026	-80.991257	1
1826238	2015	27.6004	-81.5424	1
1826236	2015	31.46160278	-82.90635556	1
1826149	2015	39.6971	-74.8746	1
1826235	2015	32.07543056	-81.975875	1
1826449	2015	31.10055556	-82.7325	1
1826231	2015	38.523233	-122.983133	1
1826230	2015	32.837	-82.39041667	1
1826228	2015	41.647183	-122.3979	1
1826387	2015	31.08597222	-81.96041667	1
1826388	2015	33.582691	-80.406174	1
1826389	2015	36.5238	-92.54501667	1
1826141	2015	41.953735	-70.718036	1
1826140	2015	42.685066	-73.093891	1
1826139	2015	42.421	-73.7043	1
1826232	2015	32.28486389	-83.51021944	1
1826138	2015	42.4209	-73.7062	1
1826275	2015	42.146876	-70.840638	1
1826135	2015	30.9766	-83.925525	1
1826134	2015	32.83875	-83.45480556	1
1826142	2015	41.932046	-70.661599	1
1826440	2015	46.37397465	-115.9875044	1
1826442	2015	34.52358333	-85.2154	1
1826443	2015	43.50667	-124.20528	1
1826266	2015	41.999421	-70.731036	1
1826279	2015	31.22811111	-81.7775	1
1826137	2015	34.67813889	-83.47925	1
1826233	2015	31.23934167	-84.73000556	1
1826234	2015	38.91425	-120.94905	1
1826444	2015	47.9735	-117.3482	1
1826441	2015	42.88917	-121.82389	1
1826143	2015	41.928061	-70.654752	1
1826144	2015	41.932046	-70.661599	1
1826145	2015	42.125879	-70.920975	1
1826164	2015	31.16892778	-81.62014167	1
1826163	2015	42.495	-122.79306	1
1826162	2015	41.337	-74.1652	1
1826447	2015	33.39296	-80.300262	1
1826161	2015	40.8298	-73.9397	1
1826159	2015	37.29645	-120.4498	1
1826158	2015	37.8336	-120.2388	1
1826157	2015	47.29893734	-116.6041616	1
1826156	2015	31.64491667	-81.90322222	1
1826155	2015	31.67208333	-81.92013889	1
1826154	2015	43.2107	-77.7078	1
1826153	2015	38.797533	-121.132967	1
1826152	2015	41.4526	-74.0209	1
1826151	2015	48.6631445	-96.60066444	1
1826160	2015	28.1514	-81.8331	1
1826446	2015	31.57704444	-83.04656111	1
1826445	2015	32.26461111	-84.09948611	1
1826448	2015	33.877457	-79.690712	1
1826148	2015	42.355799	-71.694863	1
1826147	2015	42.580296	-72.014064	1
1826414	2015	41.773993	-70.038979	1
1826451	2015	42.189932	-72.619824	1
1826452	2015	42.119694	-70.883658	1
1826453	2015	41.758289	-70.715193	1
1826477	2015	30.49650903	-89.39498368	1
1826478	2015	31.62452778	-83.82394444	1
1826479	2015	39.157917	-121.024767	1
1826480	2015	29.1698	-81.3556	1
1826481	2015	34.633469	-80.669174	1
1826482	2015	44.99	-123.34389	1
1826450	2015	42.556463	-73.171769	1
1826483	2015	30.70519444	-82.9485	1
1826485	2015	30.421	-86.8779	1
1826486	2015	41.866717	-122.471583	1
1826487	2015	30.94931667	-83.80142778	1
1826488	2015	30.3511	-84.0167	1
1826489	2015	37.337017	-120.578717	1
1826490	2015	45.10611	-122.54056	1
1826491	2015	43.80752	-84.50889	1
1826492	2015	41.95625	-70.705677	1
1826471	2015	42.013289	-70.755688	1
1826484	2015	36.123069	-120.200299	1
1826146	2015	42.375266	-71.648639	1
1826493	2015	42.050514	-70.857542	1
1826494	2015	30.74527566	-88.94586369	1
1826475	2015	37.359167	-119.721133	1
1826473	2015	42.172355	-70.883413	1
1826454	2015	32.77581944	-81.63637778	1
1826455	2015	30.3029	-83.2625	1
1826456	2015	39.39495	-123.818233	1
1826457	2015	38.780783	-121.147783	1
1826458	2015	43.16361	-124.155	1
1826459	2015	34.057526	-80.087914	1
1826476	2015	39.192167	-123.1927	1
1826460	2015	38.183667	-120.369383	1
1826462	2015	31.04743889	-83.38361389	1
1826463	2015	33.13844444	-82.78488889	1
1826464	2015	45.33778	-123.22083	1
1826465	2015	36.60585	-119.543267	1
1826466	2015	34.73883889	-85.48720833	1
1826467	2015	41.3436	-74.1704	1
1826468	2015	34.34383	-80.080894	1
1826469	2015	42.5888	-73.9265	1
1826470	2015	26.7641	-80.3689	1
1826461	2015	39.156417	-121.035217	1
1826495	2015	43.59389	-124.11444	1
1826408	2015	32.36347222	-81.84238889	1
1826165	2015	28.287	-81.2334	1
1826472	2015	42.119076	-70.882719	1
1826390	2015	38.365333	-122.984867	1
1826194	2015	42.116686	-70.847736	1
1826193	2015	41.95272	-70.708802	1
1826192	2015	28.2663	-82.3853	1
1826191	2015	39.858859	-82.109687	1
1826190	2015	42.3953	-78.0153	1
1826189	2015	39.05925	-121.02345	1
1826188	2015	40.743383	-121.92575	1
1826187	2015	27.2192	-81.2346	1
1826186	2015	42.370468	-72.123542	1
1826168	2015	40.229183	-122.331583	1
1826185	2015	42.5765	-73.9451	1
1826183	2015	47.4521	-117.4956	1
1826182	2015	47.3395	-117.604	1
1826401	2015	41.8717642	-71.552769	1
1826402	2015	33.136459	-86.943662	1
1826403	2015	37.76	-120.208833	1
1826404	2015	42.89061	-100.5214	1
1826405	2015	38.231467	-120.323517	1
1826406	2015	48.5972	-123.1689	1
1826474	2015	41.2786	-93.71729	1
1826184	2015	45.78652355	-93.06614052	1
1826167	2015	40.8381	-73.9363	1
1826195	2015	41.955399	-70.718193	1
1826407	2015	31.08875	-81.96236111	1
1826391	2015	31.22038889	-81.86333333	1
1826392	2015	36.267222	-105.202778	1
1826393	2015	44.87556	-120.14	1
1826394	2015	38.485183	-121.9878	1
1826395	2015	30.81861111	-83.14277778	1
1826396	2015	42.7206	-102.7661	1
1826397	2015	39.785667	-123.541167	1
1826206	2015	33.242933	-117.030067	1
1826400	2015	38.1	-97.9	1
1826205	2015	42.170305	-70.771415	1
1826203	2015	42.156234	-70.904239	1
1826202	2015	42.172208	-70.87763	1
1826201	2015	42.112661	-70.8158	1
1826200	2015	42.172355	-70.883413	1
1826199	2015	42.045767	-70.756655	1
1826198	2015	42.219577	-70.911018	1
1826398	2015	32.14782222	-82.02120833	1
1826399	2015	30.6254	-83.3186	1
1826197	2015	42.172355	-70.883413	1
1826204	2015	42.145249	-70.738059	1
1826196	2015	41.891447	-70.918529	1
1826166	2015	41.5454	-74.7598	1
1826302	2015	29.9245	-81.6641	1
1826497	2015	43.19278	-123.18611	1
1826304	2015	33.683018	-80.197571	1
1826173	2015	34.092319	-80.421631	1
